jg_details,jg,p_desc,precision,recall,fscore,is_user
"463 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_season_season__type=regular season,player_salary_3.salary>1112880.0",1,1,1,2014-15
"1439 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_away__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_season_season__type=regular season,player_salary_3.salary>1112880.0",1,1,1,2014-15
"951 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_season_season__type=regular season,player_salary_3.salary>1112880.0",1,1,1,2014-15
"463 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_minutes<42.6675,PT_1.prov_season_season__type=regular season,player_salary_3.salary>1112880.0",1,0.83077,0.90756,2014-15
"463 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_game_away__points>86.75,PT_1.prov_player__game__stats_efgpct>0.38,PT_1.prov_season_season__type=regular season,player_salary_3.salary>1112880.0",1,0.72308,0.83928,2014-15
"951 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_game_away__points>86.75,PT_1.prov_player__game__stats_efgpct>0.38,PT_1.prov_season_season__type=regular season,player_salary_3.salary>1112880.0",1,0.72308,0.83928,2014-15
"1439 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_away__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_game_away__points>86.75,PT_1.prov_player__game__stats_minutes>36.3425,PT_1.prov_season_season__type=regular season,player_salary_3.salary>1112880.0",1,0.70769,0.82882,2014-15
"1439 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_away__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_game_away__points<102.0,PT_1.prov_player__game__stats_efgpct<0.58,PT_1.prov_season_season__type=regular season,player_salary_3.salary<2008748.0",1,0.65672,0.7928,2013-14
"951 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_game_away__points<102.0,PT_1.prov_player__game__stats_efgpct<0.58,PT_1.prov_season_season__type=regular season,player_salary_3.salary<2008748.0",1,0.65672,0.7928,2013-14
"340 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: team_game_stats, cond: (A_1.""prov_game_game__date"")=(A_3.game_date) AND (A_1.""prov_game_home__id"")=(A_3.home_id)| 3: team_game_stats, 4: team, cond: (A_4.team_id)=(A_3.team_id)","1: PT, 2: team| 1: PT, 3: team_game_stats| 3: team_game_stats, 4: team","PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season,team_4.team=CHI,team_game_stats_3.assisted_two_spct>0.5",0.7179487179,0.83582,0.77242,2013-14
"828 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 3: team_game_stats, cond: (A_1.""prov_game_game__date"")=(A_3.game_date) AND (A_1.""prov_game_home__id"")=(A_3.home_id)| 3: team_game_stats, 4: team, cond: (A_4.team_id)=(A_3.team_id)","1: PT, 2: team| 1: PT, 3: team_game_stats| 3: team_game_stats, 4: team","PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season,team_4.team=CHI,team_game_stats_3.assisted_two_spct>0.5",0.7179487179,0.83582,0.77242,2013-14
"948 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 3: play_for, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 3: play_for, 4: team, cond: (A_4.team_id)=(A_3.team_id)","1: PT, 2: team| 1: PT, 3: play_for| 3: play_for, 4: team","PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season,play_for_3.date_end=2019-04-09,team_4.team=PHI",0.6262626263,0.92537,0.74698,2013-14
"460 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: play_for, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 3: play_for, 4: team, cond: (A_4.team_id)=(A_3.team_id)","1: PT, 2: team| 1: PT, 3: play_for| 3: play_for, 4: team","PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season,play_for_3.date_end=2019-04-09,team_4.team=PHI",0.6262626263,0.92537,0.74698,2013-14
"1316 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_away__id"")| 1: PT, 3: team_game_stats, cond: (A_1.""prov_game_game__date"")=(A_3.game_date) AND (A_1.""prov_game_home__id"")=(A_3.home_id)| 3: team_game_stats, 4: team, cond: (A_4.team_id)=(A_3.team_id)","1: PT, 2: team| 1: PT, 3: team_game_stats| 3: team_game_stats, 4: team","PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season,team_4.team=CHI",0.6262626263,0.92537,0.74698,2013-14
1 :,,"PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season",0.6262626263,0.92537,0.74698,2013-14
"1436 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_away__id"")| 1: PT, 3: play_for, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 3: play_for, 4: team, cond: (A_4.team_id)=(A_3.team_id)","1: PT, 2: team| 1: PT, 3: play_for| 3: play_for, 4: team","PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season,play_for_3.date_end=2017-04-12,team_4.team=CHI",0.6262626263,0.92537,0.74698,2013-14
"951 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_home__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_efgpct<0.58,PT_1.prov_player__game__stats_minutes<42.6675,PT_1.prov_season_season__type=regular season,player_salary_3.salary>1112880.0",1,0.56923,0.72548,2014-15
"463 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: player_salary, cond: (A_1.""prov_player_player__id"")=(A_3.player_id)| 1: PT, 3: player_salary, cond: (A_1.""prov_season_season__id"")=(A_3.season_id)","1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_efgpct<0.58,PT_1.prov_player__game__stats_minutes>36.3425,PT_1.prov_season_season__type=regular season,player_salary_3.salary<2008748.0",1,0.56716,0.7238,2013-14
"1316 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_away__id"")| 1: PT, 3: team_game_stats, cond: (A_1.""prov_game_game__date"")=(A_3.game_date) AND (A_1.""prov_game_home__id"")=(A_3.home_id)| 3: team_game_stats, 4: team, cond: (A_4.team_id)=(A_3.team_id)","1: PT, 2: team| 1: PT, 3: team_game_stats| 3: team_game_stats, 4: team","PT_1.prov_player__game__stats_usage>18.85,PT_1.prov_season_season__type=regular season,team_4.team=CHI,team_game_stats_3.offposs>88.0",0.7543859649,0.66154,0.70492,2014-15
"340 : 1: PT, 2: team, cond: (A_2.team_id)=(A_1.""prov_game_winner__id"")| 1: PT, 3: team_game_stats, cond: (A_1.""prov_game_game__date"")=(A_3.game_date) AND (A_1.""prov_game_home__id"")=(A_3.home_id)| 3: team_game_stats, 4: team, cond: (A_4.team_id)=(A_3.team_id)","1: PT, 2: team| 1: PT, 3: team_game_stats| 3: team_game_stats, 4: team","PT_1.prov_player__game__stats_usage>18.85,PT_1.prov_season_season__type=regular season,team_4.team=CHI,team_game_stats_3.assisted_two_spct<0.58",0.8837209302,0.58462,0.7037,2014-15
