query_number,join_graph,pattern_desc,recall,precision,fscore,primary_tuple,rank
nba1,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_season_season__type=regular season,player_salary_3.salary<15330435.0",1.0,1.0,1.0,2015-16,1
nba1,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_season_season__type=regular season,player_salary_3.salary<15330435.0",1.0,1.0,1.0,2015-16,1
nba1,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_season_season__type=regular season,player_salary_3.salary<15330435.0",1.0,1.0,1.0,2015-16,1
nba1,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_def__two__ptreboundpct<0.24,PT_1.prov_season_season__type=regular season,player_salary_3.salary>14260870.0",0.73684,1.0,0.84848,2016-17,4
nba1,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_tspct<0.69,PT_1.prov_player__game__stats_usage<20.51,PT_1.prov_season_season__type=regular season,player_salary_3.salary>14260870.0",0.71053,1.0,0.83078,2016-17,5
nba1,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_tspct<0.69,PT_1.prov_player__game__stats_usage<20.51,PT_1.prov_season_season__type=regular season,player_salary_3.salary>14260870.0",0.71053,1.0,0.83078,2016-17,5
nba1,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_minutes>30.7,PT_1.prov_player__game__stats_tspct>0.42,PT_1.prov_season_season__type=regular season,player_salary_3.salary<15330435.0",0.69136,1.0,0.81752,2015-16,7
nba1,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_minutes>30.7,PT_1.prov_player__game__stats_tspct>0.42,PT_1.prov_season_season__type=regular season,player_salary_3.salary<15330435.0",0.69136,1.0,0.81752,2015-16,7
nba1,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_minutes<36.57,PT_1.prov_player__game__stats_usage<20.51,PT_1.prov_season_season__type=regular season,player_salary_3.salary>14260870.0",0.68421,1.0,0.8125,2016-17,9
nba1,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_minutes>30.7,PT_1.prov_player__game__stats_usage>14.06,PT_1.prov_season_season__type=regular season,player_salary_3.salary<15330435.0",0.65432,1.0,0.79104,2015-16,10
nba2,"1: PT, 2: team| 1: PT, 3: player_game_stats| 3: player_game_stats, 4: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints<68.0,player_4.player_name=Draymond Green",0.90244,0.6218487394957983,0.73632,2013-14,1
nba2,"1: PT, 2: team| 1: PT, 3: player_game_stats| 3: player_game_stats, 4: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints<68.0,player_4.player_name=Draymond Green",0.90244,0.6218487394957983,0.73632,2013-14,1
nba2,"1: PT, 2: team| 1: PT, 3: player_game_stats| 3: player_game_stats, 4: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints<68.0,player_4.player_name=Draymond Green",0.90244,0.6218487394957983,0.73632,2013-14,1
nba2,"1: PT, 2: team| 1: PT, 3: player_game_stats| 3: player_game_stats, 4: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints>57.0,PT_1.prov_team__game__stats_nonputbacksassisted__two__spct>0.5475,player_4.player_name=Harrison Barnes",0.69512,0.7808219178082192,0.73548,2014-15,4
nba2,"1: PT, 2: team| 1: PT, 3: player_game_stats| 3: player_game_stats, 4: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints>57.0,PT_1.prov_team__game__stats_nonputbacksassisted__two__spct>0.5475,player_4.player_name=Harrison Barnes",0.69512,0.7808219178082192,0.73548,2014-15,4
nba2,"1: PT, 2: team| 1: PT, 3: player_game_stats| 3: player_game_stats, 4: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints>57.0,PT_1.prov_team__game__stats_nonputbacksassisted__two__spct>0.5475,player_4.player_name=Harrison Barnes",0.69512,0.7808219178082192,0.73548,2014-15,4
nba2,"1: PT, 2: team| 1: PT, 3: player_salary| 3: player_salary, 4: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints<68.0,player_4.player_name=Tristan Thompson",0.90244,0.6065573770491803,0.7255,2013-14,7
nba2,,"PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints<68.0",0.90244,0.6065573770491803,0.7255,2013-14,7
nba2,"1: PT, 2: play_for| 2: play_for, 3: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints<68.0,play_for_2.date_end=2014-04-16,player_3.player_name=Hilton Armstrong",0.90244,0.6065573770491803,0.7255,2013-14,7
nba2,,"PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints<68.0,PT_1.prov_team__game__stats_offatrimreboundpct>0.25",0.71951,0.7108433734939759,0.71516,2013-14,10
nba2,"1: PT, 2: play_for| 2: play_for, 3: player","PT_1.prov_season_season__type=regular season,PT_1.prov_team__game__stats_assistpoints<68.0,PT_1.prov_team__game__stats_offatrimreboundpct>0.25,play_for_2.date_end=2014-04-16,player_3.player_name=Hilton Armstrong",0.71951,0.7108433734939759,0.71516,2013-14,10
nba3,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_season_season__type=regular season,player_salary_3.salary>14500000.0",1.0,1.0,1.0,2009-10,1
nba3,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_season_season__type=regular season,player_salary_3.salary>14500000.0",1.0,1.0,1.0,2009-10,1
nba3,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_season_season__type=regular season,player_salary_3.salary>14500000.0",1.0,1.0,1.0,2009-10,1
nba3,"1: PT, 2: team| 1: PT, 3: team_game_stats| 3: team_game_stats, 4: team","PT_1.prov_season_season__type=regular season,team_4.team=MIA",1.0,0.9634146341463414,0.98136,2010-11,4
nba3,"1: PT, 2: team| 1: PT, 3: team_game_stats| 3: team_game_stats, 4: team","PT_1.prov_season_season__type=regular season,team_4.team=MIA",1.0,0.9634146341463414,0.98136,2010-11,4
nba3,"1: PT, 2: team| 1: PT, 3: team_game_stats| 3: team_game_stats, 4: team","PT_1.prov_season_season__type=regular season,team_4.team=MIA",1.0,0.9634146341463414,0.98136,2010-11,4
nba3,"1: PT, 2: team| 1: PT, 2: team","PT_1.prov_season_season__type=regular season,team_2.team=CLE",0.86667,1.0,0.92858,2009-10,7
nba3,"1: PT, 2: team| 1: PT, 3: play_for| 3: play_for, 4: team","PT_1.prov_season_season__type=regular season,play_for_3.date_end=2014-04-12,team_2.team=CLE,team_4.team=MIA",0.78947,0.9836065573770492,0.87592,2009-10,8
nba3,"1: PT, 2: team","PT_1.prov_season_season__type=regular season,team_2.team=CLE",0.78947,0.9836065573770492,0.87592,2009-10,8
nba3,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_fg__three__pct>0.0,PT_1.prov_player__game__stats_usage>28.025,PT_1.prov_season_season__type=regular season,player_salary_3.salary>14500000.0",0.75,1.0,0.85714,2009-10,10
nba4,"1: PT, 2: player_salary| 2: player_salary, 3: player","PT_1.prov_season_season__type=regular season,player_3.player_name=Devin Harris,player_salary_2.salary<8500000.0",1.0,1.0,1.0,2016-17,1
nba4,"1: PT, 2: player_salary| 2: player_salary, 3: player","PT_1.prov_season_season__type=regular season,player_3.player_name=Anthony Tolliver,player_salary_2.salary>854389.0",1.0,1.0,1.0,2016-17,1
nba4,"1: PT, 2: player_salary| 2: player_salary, 3: player","PT_1.prov_season_season__type=regular season,player_3.player_name=Reggie Jackson,player_salary_2.salary>1260360.0",1.0,1.0,1.0,2016-17,1
nba4,"1: PT, 2: player_salary| 2: player_salary, 3: player","PT_1.prov_season_season__type=regular season,player_3.player_name=Russell Westbrook,player_salary_2.salary>14693906.0",1.0,1.0,1.0,2016-17,1
nba4,"1: PT, 2: player_salary| 2: player_salary, 3: player","PT_1.prov_season_season__type=regular season,player_3.player_name=Ryan Anderson,player_salary_2.salary>8700000.0",1.0,1.0,1.0,2016-17,1
nba4,"1: PT, 2: team| 1: PT, 3: player_game_stats| 3: player_game_stats, 4: player","PT_1.prov_season_season__type=regular season,player_4.player_name=Andre Iguodala",0.95522,0.9846153846153847,0.9697,2016-17,6
nba4,"1: PT, 2: team| 1: PT, 3: player_game_stats| 3: player_game_stats, 4: player","PT_1.prov_season_season__type=regular season,player_4.player_name=Ian Clark",0.9403,1.0,0.96924,2016-17,7
nba4,"1: PT, 2: team| 1: PT, 3: team_game_stats| 1: PT, 3: team_game_stats","PT_1.prov_season_season__type=regular season,team_game_stats_3.fg_three_apct<0.31,team_game_stats_3.points<121.0",0.89362,0.9545454545454546,0.92308,2012-13,8
nba4,"1: PT, 2: team| 1: PT, 3: team_game_stats| 1: PT, 3: team_game_stats","PT_1.prov_season_season__type=regular season,team_game_stats_3.fg_three_apct<0.31,team_game_stats_3.points<121.0",0.89362,0.9545454545454546,0.92308,2012-13,8
nba4,"1: PT, 2: team_game_stats| 1: PT, 2: team_game_stats","PT_1.prov_season_season__type=regular season,team_game_stats_2.fg_three_apct<0.31,team_game_stats_2.points<121.0",0.89362,0.9545454545454546,0.92308,2012-13,8
nba5,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_season_season__type=regular season,player_salary_3.salary>1112880.0",1.0,1.0,1.0,2014-15,1
nba5,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_season_season__type=regular season,player_salary_3.salary>1112880.0",1.0,1.0,1.0,2014-15,1
nba5,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_season_season__type=regular season,player_salary_3.salary>1112880.0",1.0,1.0,1.0,2014-15,1
nba5,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_player__game__stats_minutes<42.6675,PT_1.prov_season_season__type=regular season,player_salary_3.salary>1112880.0",0.83077,1.0,0.90756,2014-15,4
nba5,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_game_away__points>86.75,PT_1.prov_player__game__stats_efgpct>0.38,PT_1.prov_season_season__type=regular season,player_salary_3.salary>1112880.0",0.72308,1.0,0.83928,2014-15,5
nba5,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_game_away__points>86.75,PT_1.prov_player__game__stats_efgpct>0.38,PT_1.prov_season_season__type=regular season,player_salary_3.salary>1112880.0",0.72308,1.0,0.83928,2014-15,5
nba5,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_game_away__points>86.75,PT_1.prov_player__game__stats_minutes>36.3425,PT_1.prov_season_season__type=regular season,player_salary_3.salary>1112880.0",0.70769,1.0,0.82882,2014-15,7
nba5,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_game_away__points<102.0,PT_1.prov_player__game__stats_efgpct<0.58,PT_1.prov_season_season__type=regular season,player_salary_3.salary<2008748.0",0.65672,1.0,0.7928,2013-14,8
nba5,"1: PT, 2: team| 1: PT, 3: player_salary| 1: PT, 3: player_salary","PT_1.prov_game_away__points<102.0,PT_1.prov_player__game__stats_efgpct<0.58,PT_1.prov_season_season__type=regular season,player_salary_3.salary<2008748.0",0.65672,1.0,0.7928,2013-14,8
nba5,"1: PT, 2: team| 1: PT, 3: play_for| 3: play_for, 4: team","PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season,play_for_3.date_end=2019-04-09,team_4.team=PHI",0.92537,0.6262626262626263,0.74698,2013-14,10
nba5,"1: PT, 2: team| 1: PT, 3: play_for| 3: play_for, 4: team","PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season,play_for_3.date_end=2018-11-09,team_4.team=MIN",0.92537,0.6262626262626263,0.74698,2013-14,10
nba5,"1: PT, 2: team| 1: PT, 3: team_game_stats| 3: team_game_stats, 4: team","PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season,team_4.team=CHI",0.92537,0.6262626262626263,0.74698,2013-14,10
nba5,,"PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season",0.92537,0.6262626262626263,0.74698,2013-14,10
nba5,"1: PT, 2: team| 1: PT, 3: team_game_stats| 3: team_game_stats, 4: team","PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season,team_4.team=CHI",0.92537,0.6262626262626263,0.74698,2013-14,10
nba5,"1: PT, 2: team| 1: PT, 3: play_for| 3: play_for, 4: team","PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season,play_for_3.date_end=2017-04-12,team_4.team=CHI",0.92537,0.6262626262626263,0.74698,2013-14,10
nba5,"1: PT, 2: team| 1: PT, 3: team_game_stats| 3: team_game_stats, 4: team","PT_1.prov_player__game__stats_usage<22.92,PT_1.prov_season_season__type=regular season,team_4.team=CHI",0.92537,0.6262626262626263,0.74698,2013-14,10
