valid_jgs,maximum_edges,f1_sample_rate,feature_reduct,lca,check_recall,run_f1_query,materialize_jg,refinment,f1_sample,jg_enumeration,rank_patterns,total
3,1,0.1,3.34,0.06,0.04,0.04,1.01,0.01,0.01,0.04,0,5.539520741
3,1,0.3,3.34,0.06,0.05,0.05,1.01,0.01,0.01,0.03,0,5.562698841
3,1,0.5,3.33,0.06,0.07,0.08,1.01,0.02,0.01,0.04,0,5.605471611
3,1,0.7,3.36,0.07,0.09,0.11,1,0.02,0.01,0.03,0,5.696825266
3,1,1,3.34,0.06,0.1,0.13,1,0.02,0,0.04,0,5.663623333
8,2,0.1,26.32,1.41,1.35,1.67,2.69,2.07,0.49,0.74,0,39.3400774
8,2,0.3,26.23,1.45,3.46,5.11,2.69,2.96,0.62,0.75,0.01,45.94974995
8,2,0.5,26.57,1.44,5.54,8.62,2.65,3.05,0.67,0.76,0.01,52.03413248
8,2,0.7,26.62,1.4,7.03,11.09,2.65,2.85,0.74,0.75,0.01,55.86218643
8,2,1,25.86,1.41,9.59,15.13,3.44,2.95,0,0.76,0.01,61.88902593
20,3,0.1,84.07,9.65,10.87,18.73,20.62,21.64,15.86,17.43,0.02,214.338506
20,3,0.3,83.98,9.55,34.5,67.79,22.27,21.05,21.14,17.25,0.03,293.3188922
20,3,0.5,85,9.58,51.57,103.1,21.1,22.93,23.26,17.39,0.04,350.1119518
20,3,0.7,85.36,9.5,65.93,127.69,20.77,24.26,26.45,17.81,0.04,394.1480534
20,3,1,84.51,9.68,80.45,151.44,21.75,23.98,0,17.51,0.03,405.8637562